dt_referencia;no_produto;no_indicador;vr_real
"2010-01-06";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-06";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";56.39
"2010-01-06";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";56.58
"2010-01-06";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.89
"2010-01-06";"soja";"Soja industrial tipo 1 sc 60 Kg";39.85
"2010-01-06";"trigo";"Trigo pão PH 78 sc 60 Kg";24.1
"2010-01-06";"boi";"Boi em pé arroba";73.11
"2010-01-06";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-06";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-06";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-06";"vaca";"Vaca em pé (padrão corte) arroba";66.98
"2010-01-06";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";225.15
"2010-01-06";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-07";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-07";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.93
"2010-01-07";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-07";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";54.84
"2010-01-07";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";57.13
"2010-01-07";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.93
"2010-01-07";"soja";"Soja industrial tipo 1 sc 60 Kg";39.72
"2010-01-07";"trigo";"Trigo pão PH 78 sc 60 Kg";24.1
"2010-01-07";"boi";"Boi em pé arroba";73.1
"2010-01-07";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-07";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-07";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-07";"vaca";"Vaca em pé (padrão corte) arroba";67.1
"2010-01-07";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";228.71
"2010-01-07";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-08";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-08";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";35.51
"2010-01-08";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
"2010-01-08";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";54.53
"2010-01-08";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";57.14
"2010-01-08";"milho";"Milho amarelo tipo 1 sc 60 Kg";15.02
"2010-01-08";"soja";"Soja industrial tipo 1 sc 60 Kg";39.74
"2010-01-08";"trigo";"Trigo pão PH 78 sc 60 Kg";24.03
"2010-01-08";"boi";"Boi em pé arroba";73.16
"2010-01-08";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.59
"2010-01-08";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-08";"suíno";"Suíno em pé tipo carne não integrado kg";1.98
"2010-01-08";"vaca";"Vaca em pé (padrão corte) arroba";67.07
"2010-01-08";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";228.99
"2010-01-08";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-11";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-11";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";36.93
"2010-01-11";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";34.75
